        lang natural hallucinated acc
        tur	100310	0	98.85
        olo	100062	0 	99.35
        vep	100053	0 	99.33
        sah	100046	0 	99.87
        por	100041	0 	98.37
        pol	100039	0 	97.47
        ara	100027	0 	98.58
        tyv	100015	0 	98.49
        kmr	100003	0 	98.31
        rus	100002	0 	96.86
        spa	100001	0 	98.66
        aym	100000	0 	99.80
        deu	100000	0 	93.25
        ces	94169	0 	93.96
        krl	78673	0 	97.87
        bul	39011	0 	98.04
        nld	38827	0 	92.33
        amh	32254	0 	97.11
        heb	23204	0 	95.0
        afb	22165	0 	91.16
        arz	17683	0 	92.52
        cni	13948	0 	91.43
        ckb	11577	0 	71.72
        ind	11072	0 	61.94
        evn	5216	10000 	52.17
        see	3801	10000 	52.42
        ame	2524	10000 	74.17
        itl	1246	10000 	31.31
        syc	1217	10000 	15.70
        bra	1082	10000 	62.09
        ail	918	10000 	91.98
        mag	854	10000 	63.64
        vro	804	10000 	78.07
        kod	323	10000 	80.43
        sjo	290	10000 	36.59
        gup	214	10000 	26.67
        ckt	132	10000 	55.56
        lud	128	10000 	66.67
